name_project,project_desc,category_project
tutor ML,So much ing hackers... Entered a session which has 5 hackers at the same time couldn't report them because rockstar doesn't LET ME REPORT TOO MUCH LIKE THEY CAN ING PREVENT HACKERS! 10000/10 would NOT recommend.,"cogan, cewek, valorant"
joki Roblox,Take Two's anti modding and anti community decisions have really really tarnished this game.I cannot support them any longer because of the decisions they are making which are really taking away from some of the great things about this game solely so they can make another buck (and let's be real they've made PLENTY of money on this already).,susah
tutor Destiny,I dont know if I just suck or everyone is a hacker but I have yet to come across any English speaking people in the NA server. Oh...and I die all the time.,"mobile legend, sepuh, free fire"
tutor NINTENDO,"RUST ""Yes you have to remember to eat in real life also"".","cogan, waifu, susah"
joki DOTA,10/10Day Z for the more construction oriented gamer.,"valorant, free fire"
cari Bang Bang,RIP Modding,"pro player, gg"
tutor DOTA,aight,"waifu, cecan, jodoh"
tutor Cyberpunk,This game had the most potential of any video game I had ever seen. The first day I got this I got completely lost in it and played for over 12 consecutive hours. Even the bugs in the game added a little bit of charm to the game.However the devs somehow managed to shoot themselves in the foot over and over and over again. They constantly add new features that nobody asked for while neglecting to fix game breaking bugs that have been in the game since day one. This game is an unoptimized ugly choppy broken mess that I could maybe justify playing if it was free.As is this game has no redeeming qualities and shows no signs of improving. Please do yourself a favor and save the money. Do not support these devs.,gg
joki COD,Great game Lots of fun Fashion! Very addicting,pro player
tutor VALORANT,10/10. Best game ever. Very fun with friends.,free fire
cari Minecraft,nice game to play with friends,wibu
joki Genshin Impact,Wow great game definitly suggest. 10/4 would buy again... if it was on sale........ never is though. Great even for high price. Buy this gaMe.,"susah, wibu"
cari Resident Evil,good game,susah
tutor DOTA,I have played this game for 200 hours and I can not say it has no bugs but from what I saw in the future update will be much more optimized and resolved from the bugs.,suhu
tutor Clash Royale,its ok i guess,"cewek, jodoh, waifu"
tutor ML,awesome game and only getting better!,free fire
cari GTA,I'm not even going into detail about the general gameplay.When you finnaly get a hang of the game and kill a invader he suddenly revives himself runs a few steps and then despawns himself ...it becomes apparent that once you can't get outplayed you'll get hacked instead.Stay away from this game.,"cewek, cecan, mobile legend"
tutor Clash Royale,spwan naked with a rock hiting tree nod make a tools continue hiting tree take hemp make clothing make bowhit drum ran bow fighting.. bandage... ran... 1 hit 2 hit serpentine... bleeding bandage... ran bow fighting againheadshot... wolf attck while looting screaming!!! another naked come finish me off!,"gg, jodoh"
joki COD,Biggest scam on steam ever waste me 200,suhu
cari NINTENDO,do you want to have a chicken din din? just buy this game and you will got your chicken. D,"mobile legend, cecan"
tutor Cyberpunk,Great Game but skill judging is completely broken and so is matchmakingPlease work on this,"valorant, susah"
cari PUBG,Stay away until the devs do something about the cheaters there are way too many of them and the devs are doing nothing. Esp aimbot and no recoil hacks like crazy just about every game.,"cecan, wibu, suhu"
joki VALORANT,this game is so fun,"susah, wibu, pro player"
tutor PUBG,SO GOOD.,valorant
tutor Clash Royale,In its current state probably a 3 1/2 out of 5. The game itself is very enjoyable the problem is with the servers and menus. finding a game takes forever and then if anyone drops out while the match is loading you may as well call it a night 'cause its going to take all day to load. The menus are a bit glitchy and will ocationally freeze requiring a full PC restart to fix.,"susah, cogan, free fire"
tutor PUBG,I didn't think I would like this game a lot but it turned out very very interesting despite being seemingly repetitive I find myself returning to it. What surprised me even more is that the nervousness never goes away even after 40 something hours I still feel nervous playing it as a survivor.,"mobile legend, cogan, jodoh"
joki Resident Evil,huva peli voi ajaa prätkää ja vetää bäkkärin,"pro player, mobile legend, wibu"
joki Bang Bang,This is honestly one of the best games I've played. It is super fun. I reccomend this to everybody despite there being a ton of glitches and things its actually really funny whenever a glitch happens and no they dont happen every single game or something but even if you are doing good and you die by a hilarious glitch It to me is more worth it. I'm not sure why this game is getting a lot of heat since it has amazing graphics and game play mechanics that I personally love but I definetly think it was worth the money.,"gg, wibu"
joki ML,As a long time fan of the GTA series and owning the entire series the beginning of the story was fun but halfway through changing characters gets a little annoying. Being a bank robber is different than being a gangster or mobster like the others in the series but was a fun change.over all after beating the game twice I have to say the game was fun but I was wanting a bit more with single player dlc. The online portion was similar to the story. At first it was fun but once you get all of the jobs(CEO making fake money making drugs having a MC etc) it literally becomes the same missions over and over again. Not only that but rockstar made it that you get very little money from doing these jobs forcing you to buy shark cards or play the game like world of Warcraft.which at first sounds fun and resonable but in practice becomes boring and a grind fest(since your doing the same missions over and over). Overall I would get it for single player and mods absolutely fun. But I wouldn't get it JUST for the online even with friends too much of a grind without the fun of being a traditional mmo.,"wibu, pro player"
joki Destiny,this is the best game i ever played ),"wibu, valorant, cewek"
joki COD,i played a little bit. it's okay.,"susah, waifu"
cari FF,after every update the game gon af blue hole you,"wibu, valorant, gg"
joki Roblox,Product received for free. great game 9.862513421 / 10,"susah, pro player, suhu"
cari NINTENDO,This game requires a LOT of determination. You get started you get raided you make a play get by a naked charging you with a rock because of the games optimization causing you to lag. Did I mention rusts poor construction? The game has 10 year old software in it and it is not working very well (slow loading times and poor performance). Even known this is a positive review rust is a bad game but it is sure as hell addicting. You will eventually gain up to 1k hours on the game and realizing you have no life anymore then you will start fanning rust skins and skull ing you bank account. The rust community is 50 50half toxic and half sane. One you get passed all that you find ways around it and you will be out of that and being a god at rust making plays raiding clans wiping zergs all that good and at that point you realize the suffering was worth it.,"cecan, cogan"
joki Cyberpunk,Must play this game.,"suhu, susah, sepuh"
joki FF,What an unoptimized piece of garbage.This is barely a functioning game and I don't think it being in early access justifies that.On top of that the devs have chosen to introduce micro transactions rather than optimizing movement and gunplay which in its current state is utterly f*cked.,"cogan, mobile legend, sepuh"
cari Genshin Impact,"While this game is full of amazing contents two things that stick out makes playing MHW not that pleasant 1. Playing with mouse and keyboard is a pain in the (I don't know that situation with controllers). Many actions (like aiming with ""V"" instead of right click) are very counter intuitive and take a long time to get used to.2. Online feature is absolute crap. Constant disconnect or unable to connect"" even after the latest updates. Once I am disconnected I can't reconnect without waiting for a few hours. Capcom has worse servers than Ubisoft.",waifu
